Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
[ 48  83 122],,[32 32 37],[18 73 85],[55 53 28],[11 23 23],[12 27 28],[22 28 27],[18 28 23],[60 75 45],[19 56 37],[83 84 44],[28 19 13],[30 48 50],[20 61 57],[63 61 67],[35 18 14],[30 40 41],[ 27 102  53],[ 24 114  48],[61 33 50],[31 46 50],[29 39 42],[84 96 20],[27 75 28]
[ 34 118 123],,[27 34 32],[27 84 81],[57 57 32],[11 25 25],[13 26 26],[18 28 21],[16 23 21],[33 48 49],[24 70 39],[62 71 62],[36 21 16],[49 74 65],[13 42 29],[75 69 61],[24 25 10],[32 64 22],[ 27 107  56],[  7 110  54],[57 16 40],[23 39 33],[31 45 34],[114 131  35],[38 78 25]
[ 48 105 138],,[37 37 40],[ 40  88 112],[49 54 27],[13 25 27],[13 28 28],[19 24 23],[17 26 23],[30 35 45],[19 55 46],[82 72 60],[28 14 13],[33 62 64],[15 76 50],[56 71 52],[ 6 10 17],[25 44 39],[ 22 110  48],[27 95 54],[68 20 45],[33 74 31],[21 49 31],[117  80  18],[28 46 18]
[ 33 102 111],,[23 35 36],[ 24  81 146],[52 49 28],[14 26 25],[13 24 24],[19 26 28],[14 26 23],[57 64 57],[22 57 55],[99 68 90],[36 22 18],[30 45 38],[23 50 33],[76 71 48],[41 18 23],[32 64 51],[  7 108  50],[ 24 117  64],[54 23 49],[22 50 41],[27 50 38],[115  65  19],[34 55 32]
[ 48  98 127],,[36 34 40],[31 85 83],[56 65 30],[14 27 27],[12 25 27],[18 33 26],[19 32 28],[59 71 40],[16 43 31],[56 72 48],[30 14 14],[26 32 49],[14 63 36],[60 65 55],[34 15 16],[36 53 42],[24 93 48],[15 91 46],[63 40 57],[22 43 36],[27 36 35],[117  89  34],[52 57 34]
[ 47 104 116],,[28 35 43],[32 90 87],[42 57 35],[12 28 28],[13 27 28],[17 25 23],[20 31 29],[31 47 49],[13 55 40],[55 77 41],[14 15 16],[34 38 45],[19 59 38],[44 65 38],[35 19 12],[29 65 57],[ 20 114  53],[ 16 114  59],[60 20 41],[27 31 31],[20 32 25],[110  91  31],[37 65 25]
[ 43  94 127],,[30 30 26],[ 29  83 139],[47 65 25],[13 26 28],[14 27 29],[15 27 23],[21 25 24],[64 76 46],[16 75 49],[83 77 58],[33 15 15],[18 41 64],[23 45 31],[68 95 54],[37 25 17],[28 33 44],[ 26 108  55],[ 8 91 54],[53 37 52],[28 43 37],[29 39 33],[111  80  42],[30 55 23]
[ 44 100 130],,[32 31 35],[ 31  91 138],[65 74 29],[12 25 25],[12 26 24],[19 30 24],[18 26 17],[57 72 35],[19 63 40],[68 78 52],[36 21 14],[16 48 70],[22 47 37],[76 98 56],[35 29 18],[35 53 54],[ 12 103  51],[13 99 51],[60 20 44],[29 45 39],[33 54 35],[108  98  21],[46 64 27]
[ 47  95 126],,[30 37 38],[ 38  82 149],[25 29 29],[11 25 25],[12 25 28],[18 33 20],[ 8 21 17],[26 39 45],[30 69 59],[82 58 51],[36 17 15],[44 80 66],[23 60 55],[60 77 68],[33 21 12],[26 58 51],[ 15 106  54],[ 18 108  59],[62 28 44],[29 37 35],[29 51 51],[111  81  25],[23 46 31]
[ 52  89 121],,[26 37 41],[ 36  75 134],[82 47 30],[13 26 28],[13 25 24],[22 29 25],[23 29 26],[82 64 42],[ 9 37 35],[55 77 60],[33 27 15],[26 48 67],[17 53 34],[ 95 108  68],[32 29 14],[35 48 47],[ 8 87 49],[ 22 108  57],[59 38 43],[25 66 40],[31 39 41],[122  75  16],[28 52 27]
[ 42  88 124],,[33 28 36],[ 25  79 140],[50 41 33],[14 28 29],[13 28 29],[17 37 19],[16 26 28],[40 48 42],[24 67 48],[66 46 54],[27 16 16],[24 61 56],[16 59 25],[86 73 56],[33 12 17],[28 35 39],[13 88 47],[ 23 110  61],[45 20 51],[25 44 29],[35 73 38],[117 101  21],[24 63 38]
[ 42  99 124],,[31 36 34],[ 29  66 147],[60 68 30],[10 24 23],[13 26 26],[17 24 18],[18 29 21],[35 49 56],[28 59 60],[98 87 67],[28 22 20],[39 64 87],[21 73 55],[69 71 57],[30 20 18],[28 47 36],[20 97 56],[13 88 59],[50 23 40],[32 45 37],[21 52 40],[125 105  31],[29 73 32]
,,[24 43 31],[ 24  78 145],[65 39 44],[13 27 27],[10 22 23],[18 29 22],[24 32 23],[39 38 45],[22 64 47],[ 71 105  71],[32 25 18],[26 50 60],[16 56 47],[71 68 68],[33 15 14],[48 71 59],[ 17 115  61],[12 93 50],[63 51 57],[27 55 42],[22 39 36],[117  80  28],[39 53 28]
,,[31 30 37],[26 81 84],[68 56 56],[12 26 27],[12 24 23],[21 23 31],[18 29 22],[68 63 42],[19 45 34],[93 96 72],[44 25 26],[47 70 63],[26 60 34],[73 61 48],[45 19 18],[20 49 65],[20 93 54],[ 13 103  50],[61 29 39],[28 38 35],[23 44 36],[75 53 21],[30 54 36]
,,[28 31 37],[ 32  72 146],[70 71 27],[12 26 24],[14 24 25],[14 26 23],[15 29 23],[78 83 48],[18 42 36],[26 59 31],[37 22 14],[22 60 63],[36 69 39],[94 77 85],[24 14 12],[61 92 92],[ 23 109  56],[12 97 51],[60 31 50],[24 42 54],[33 39 40],[123  67  21],[38 56 23]
,,[34 34 40],[ 37  88 136],[47 49 32],[10 24 28],[13 28 27],[21 25 31],[19 30 30],[60 68 43],[14 71 41],[52 78 49],[33 17 12],[44 94 64],[16 69 41],[ 80  97 111],[34 25 22],[50 85 89],[12 76 49],[ 17 100  57],[62 29 45],[32 58 30],[31 41 42],[128  83  33],[48 47 30]
,,[30 32 35],[ 33  62 151],[54 54 31],[14 30 28],[12 26 27],[17 34 27],[19 25 23],[64 60 50],[14 48 39],[95 58 62],[31 19 16],[ 49  98 100],[14 37 30],[79 66 51],[34 17 19],[30 41 54],[ 25 106  50],[17 88 53],[65 23 46],[20 40 28],[31 47 29],[145 111  30],[48 65 30]
,,[26 37 41],[29 88 72],[51 50 22],[12 26 26],[ 9 23 20],[20 27 24],[18 34 23],[58 45 44],[23 53 51],[59 85 44],[31 24 15],[63 83 79],[23 47 37],[45 67 44],[35 16 17],[44 81 93],[11 92 57],[ 26 102  53],[63 29 51],[31 43 40],[27 52 41],[117  83  17],[31 67 35]
,,[32 36 42],[ 28  84 144],[77 65 32],[10 25 22],[13 27 27],[17 27 22],[22 28 28],[19 35 45],[21 55 37],[68 55 67],[25 27 16],[28 45 53],[22 53 57],[55 76 67],[31 22 17],[36 72 67],[12 99 52],[20 94 53],[49 14 49],[26 45 30],[17 44 29],[144  99  32],[22 46 21]
,,[32 32 36],[32 92 83],[51 36 24],[12 28 28],[12 27 28],[16 32 29],[ 8 23 20],[33 48 53],[20 58 42],[50 65 46],[33 29 21],[47 79 75],[14 45 39],[56 81 49],[34 30 16],[18 44 57],[13 99 44],[23 94 51],[45 28 52],[33 50 40],[31 42 42],[143  94  26],[51 69 45]
,,[35 30 37],[ 18  70 148],[61 41 23],[11 24 24],[10 21 22],[24 31 24],[21 37 28],[61 71 51],,[58 83 58],[36 23 16],[31 67 69],[21 58 41],[66 76 63],[36 21 20],[26 40 48],[12 75 56],[ 16 104  54],[61 39 48],[30 72 35],[27 57 37],[125  65  22],[26 55 26]
,,[21 40 38],[ 26  74 152],[63 55 32],[13 27 26],[13 25 25],[19 31 24],[26 24 23],[56 93 42],,[60 58 45],[33 14 15],[18 35 47],,[91 82 69],[57 20 25],[34 44 31],[ 18 101  54],[12 97 57],[49 66 43],[27 49 39],[34 39 36],[112  65  31],[28 49 23]
,,[26 32 34],[36 87 88],[61 56 44],[14 26 29],[13 25 25],[22 29 24],[20 25 23],[33 37 44],,[46 77 43],[50 14 11],[22 52 77],,[67 59 60],[46 20 19],[39 48 41],[ 26 115  55],[ 17 120  54],[53 19 39],[28 52 34],[24 54 44],[103  88  34],[22 37 25]
,,[19 26 32],[ 30  91 146],[49 45 27],[10 22 23],[11 25 25],[21 32 25],[16 34 23],[31 36 40],,[85 78 61],[28 15 14],[25 53 52],,[89 84 72],[30 18 18],[20 35 47],[25 82 57],[ 16 114  57],[51 21 41],[23 40 35],[36 62 33],[118  96  29],[44 63 40]
,,[25 36 39],[ 22  74 141],[65 60 37],[12 26 24],[12 24 24],[24 29 20],[21 34 26],[56 48 29],,[78 86 59],[46 31 12],[31 53 54],,[89 82 67],[31 12 31],[42 53 38],[21 99 54],[ 11 109  53],[50 27 41],[26 56 30],[22 33 32],[124  79  30],[33 37 21]
,,[28 34 38],[ 35  82 138],[67 52 35],[14 26 26],[11 26 28],[18 31 25],[19 26 29],[60 83 54],,[77 77 51],[31 14 15],[42 56 41],,[88 79 77],[27 17 15],[39 80 75],[ 25 102  61],[ 5 46 42],[56 28 52],[37 59 30],[35 46 45],[136 132  22],[36 58 28]
,,[33 36 38],[ 26  76 153],[33 40 17],[12 24 24],[11 25 26],[17 35 18],[18 29 33],[28 41 43],,[63 70 58],[32 18 15],[27 61 64],,[59 53 51],[34 17 18],[30 46 40],[ 17 104  51],[ 18 103  55],[69 41 48],[32 58 42],[28 47 42],[116  80  24],
,,[28 33 36],[ 28  65 141],[58 57 33],[11 25 25],[13 27 27],[24 27 28],[17 31 26],[54 53 44],,[67 70 58],[31 23 25],[42 44 69],,[63 68 56],[30 12 17],[32 53 50],[11 88 51],[10 95 49],[61 47 56],[32 41 32],[24 29 26],[117  83  32],
,,[32 34 43],[ 22  60 134],[40 71 19],[11 28 27],[12 26 27],[18 25 29],[20 24 20],[59 88 48],,[84 68 69],[36 17 13],[30 43 51],,[72 64 58],[29 21 14],[17 54 54],[ 18 104  52],[ 26 115  52],[56 44 52],[22 44 33],[34 35 35],[90 65 24],
,,[29 29 30],[ 31  74 143],[55 47 29],[11 26 26],[12 21 24],[19 24 18],[19 29 23],[30 38 39],,[67 83 59],[32 13 17],[37 80 81],,[92 82 60],[33 17 15],[29 57 48],[ 16 110  55],[21 99 53],[58 17 43],[21 46 33],[27 74 37],[ 96 101  27],
,,[30 37 34],[ 29  68 148],[75 65 44],[13 28 26],[10 24 23],[19 31 25],[16 24 23],[33 37 45],,[66 71 60],[34 18 15],[29 53 53],,[65 56 51],[28 25 16],[15 37 33],[ 12 105  56],[ 22 101  57],[49 38 52],[32 49 51],[23 61 27],[110  88  33],
,,[26 34 39],[ 29 102  94],[56 76 50],[12 23 23],[12 24 25],[16 21 23],[23 26 25],[34 46 48],,[67 77 63],[17  8 13],[15 38 35],,[88 75 56],[38 18 11],[37 60 59],[ 3 39 40],[14 93 55],[65 31 45],[26 48 46],[23 35 32],[131  89  36],
,,[31 28 34],[ 26  61 135],[71 46 31],[13 27 26],[13 26 27],[13 28 24],[17 30 23],[31 36 51],,[72 62 59],[33 15 15],[37 43 53],,[63 56 47],[30 26 17],[23 39 45],[ 19 101  52],[18 92 51],[66 39 35],[22 49 36],[26 46 28],[115 124  32],
,,[40 38 49],[29 83 75],[49 56 27],[10 25 22],[ 9 23 23],[16 27 23],[ 8 40 19],[65 56 38],,[58 65 47],[33 18 15],[28 50 49],,[59 96 58],[30 16 17],[32 54 54],[ 18 100  53],[25 96 59],[56 29 50],[24 31 32],[32 66 48],[125  81  37],
,,[19 29 25],[34 94 81],[81 44 26],[12 24 25],[12 26 27],[13 37 25],[24 21 23],[73 83 50],,[ 47 116  68],[17 21 20],[31 54 57],,[78 84 61],[27 17 15],,[11 87 53],[ 19 106  49],[60 25 43],[27 36 34],[30 47 37],[122  86  17],
,,[29 32 42],[ 39  84 236],[63 48 36],[10 22 22],[11 25 27],[13 27 22],[14 24 16],[34 43 52],,[74 73 52],[37 19 15],,,[84 63 66],[32 21 19],,[ 25 108  52],[ 18 110  50],[54 16 46],[24 46 40],[24 43 39],[130  86  31],
,,[31 29 32],[ 39 102 119],[84 69 32],[13 27 27],[12 22 22],[14 22 21],[16 25 19],[73 77 50],,[63 55 47],[42 12 17],,,[41 66 53],[31 16 14],,[ 21 101  45],[ 22 112  56],[59 37 52],[27 45 33],[33 55 40],[133  71  34],
,,[25 31 35],[37 71 95],[61 60 35],[12 24 22],[10 20 22],[20 24 22],[22 27 23],[33 44 42],,[ 59 101  65],[29 14 15],,,[56 63 58],[42 18 16],,[ 20 104  54],[ 16 111  54],[59 18 46],[26 62 39],[28 35 33],[113  76  23],
,,[30 34 35],[ 38  89 126],[72 44 31],[10 23 21],[14 28 27],[13 33 27],[23 21 25],[40 49 39],,[49 60 37],[32 29 41],,,[66 64 48],[31 16 20],,[14 97 54],[ 18 107  60],[58 37 46],[25 42 36],[24 34 34],[138 110  31],
,,[31 35 40],[ 38  97 105],[51 59 26],[14 26 27],[11 25 26],[21 22 25],[21 31 27],[35 45 47],,[84 83 48],[37 10 12],,,[66 72 55],[30 13 14],,[24 94 60],[ 18 100  52],[44 33 44],[29 68 47],[30 42 47],[115  89  38],
,,[31 35 38],[ 22  84 130],[68 73 46],[10 25 26],[12 25 26],[14 32 21],[15 27 18],[34 47 41],,[78 83 59],[36 20 13],,,[83 75 52],[30 13 14],,[ 16 101  53],[12 87 52],[56 27 44],[29 67 35],[26 51 42],[122  97  31],
,,[30 31 44],[ 30  70 141],[54 56 31],[12 24 24],[10 26 25],[23 33 30],[24 33 28],[73 68 47],,[66 91 88],[32 20 17],,,[56 97 53],[32 19 16],,[ 18 104  45],[ 4 74 51],[56 26 45],[25 42 32],[20 42 35],[110  78  23],
,,[42 38 52],[ 23  71 132],[61 46 29],[14 25 26],[12 26 26],[18 24 23],[18 23 24],[48 82 50],,[72 67 56],,,,[60 83 65],,,[11 52 44],[ 24 110  60],[60 45 55],[28 32 36],[25 55 39],[117  91  24],
,,[34 36 39],[29 73 87],[80 73 35],[10 24 24],[11 24 25],[19 26 21],[15 26 21],[65 74 41],,[66 76 58],,,,[56 77 54],,,[ 23 103  52],[22 83 50],[46 16 39],[28 40 31],[26 46 36],[132 111  29],
,,[33 40 39],[ 22  69 137],[76 75 45],[12 25 27],[12 25 28],[20 28 23],[26 33 23],[56 42 38],,[56 91 51],,,,[92 71 59],,,[ 17 122  58],[ 21 112  48],[57 27 50],[23 64 45],[27 46 33],[127  99  21],
,,[28 30 29],[ 34  80 150],[64 63 41],[10 23 23],[10 23 26],[24 28 20],[19 32 23],[33 43 49],,[27 59 40],,,,[58 50 43],,,[ 18 107  48],[ 14 122  53],[68 23 45],[22 43 37],[26 60 37],[141  66  33],
,,[25 34 29],[ 28  67 135],[66 42 23],[10 23 24],[10 22 23],[18 34 26],[18 27 23],[34 45 47],,[60 83 61],,,,[82 60 53],,,[ 18 105  52],[ 18 131  58],[61 28 48],[28 70 50],[30 40 39],[116  80  31],
,,[35 35 43],[30 85 83],[69 83 32],[11 28 28],[11 27 27],[22 20 23],[22 22 25],[36 35 42],,[63 71 56],,,,[61 75 54],,,[11 74 61],[20 85 62],[49 16 41],[31 57 41],[29 77 51],[119 123  34],
,,[24 31 34],[ 27  81 159],[49 59 27],[12 25 24],[12 25 25],[24 32 23],[24 32 27],[57 53 42],,[75 65 55],,,,[54 79 63],,,[ 25 110  60],[ 21 118  50],[60 22 36],[29 45 33],[25 50 36],[147  71  27],
,,[27 38 35],[ 27  80 149],[94 48 41],[12 23 24],[11 24 24],[16 25 28],[12 29 27],[66 71 46],,[59 65 46],,,,[75 81 63],,,[ 20 101  44],[15 97 57],[60 26 44],[29 77 31],[25 36 35],[107  94  20],
,,[34 36 38],[ 31  77 108],[55 70 35],[11 25 25],[11 24 26],[15 20 21],[15 20 22],[35 42 41],,[80 53 51],,,,[77 75 68],,,[ 21 106  53],[ 13 113  49],[61 40 46],[30 42 33],[28 40 28],[108  95  25],
,,[22 30 41],[ 27  69 147],[58 67 31],[12 24 24],[10 21 19],[19 29 23],[15 32 27],[31 39 42],,[79 85 73],,,,[36 61 45],,,[ 14 115  53],[ 13 115  58],[54 24 43],[23 39 34],[21 66 43],[152  69  29],
,,[32 32 29],[ 31  73 164],[84 42 47],[10 20 22],[13 26 26],[19 21 24],[24 22 23],[50 43 34],,[61 68 58],,,,[80 68 65],,,[ 16 131  62],[21 99 47],[43 18 34],[25 40 31],[27 69 51],[119 124  31],
,,[29 34 41],[ 17  70 141],[35 39 27],[13 26 26],[15 27 27],[24 32 23],[19 27 29],[38 32 47],,[74 79 59],,,,[58 68 62],,,[ 18 128  59],[ 10 113  52],[43 29 52],[23 43 34],[30 47 41],[123  81  32],
,,[24 28 36],[ 24  68 139],[67 53 31],[14 29 29],[12 24 26],[17 31 19],[15 31 21],[62 60 53],,[72 76 67],,,,[78 67 61],,,[ 20 103  55],[12 85 52],[55 13 41],[23 32 26],[27 51 31],[99 51 29],
,,[29 29 38],[ 25  98 149],[60 38 43],[12 25 27],[12 23 26],[19 33 29],[18 24 24],[56 72 40],,[78 62 57],,,,[ 74 108  61],,,[ 21 120  50],[ 20 118  48],[74 28 41],[28 46 33],[28 42 33],[127  73  24],
,,[28 32 37],[ 26  71 149],[77 52 42],[11 24 25],[13 27 27],[14 17 15],[11 18 21],[32 37 49],,[59 57 55],,,,[103  83  82],,,[16 91 61],[ 28 104  61],[60 24 48],[31 51 41],[23 36 30],[115  66  38],
,,[31 35 41],[ 26  63 134],[61 40 33],[13 29 27],[14 24 23],[17 30 21],[16 32 23],[56 69 48],,[78 90 89],,,,[78 92 66],,,[ 12 100  48],[ 8 84 51],[64 28 47],[29 55 41],[25 34 33],[134  74  24],
,,[31 31 36],[ 29  71 135],[52 50 44],[11 23 23],[12 26 25],[16 33 18],[20 31 18],[69 86 41],,[58 59 50],,,,[89 79 70],,,[ 16 103  53],[ 19 114  51],[64 34 46],[21 39 28],[23 45 41],[121 104  23],
,,[31 30 48],[21 68 63],[28 50 25],[15 23 21],[11 27 29],[18 28 24],[17 32 18],[30 41 49],,[ 83 119  79],,,,[89 82 67],,,[21 92 52],[22 97 54],[60 37 59],[28 42 33],[30 44 35],[135 103  24],
,,[33 39 36],[ 23  81 151],[67 63 26],[14 24 26],[12 24 26],[21 32 24],[26 37 30],[63 66 47],,[79 87 63],,,,[61 69 61],,,[ 11 112  56],[ 19 108  52],[57 18 44],[23 52 42],[33 48 37],[113  78  30],
,,[39 42 55],[ 30  63 131],[33 37 33],[12 25 27],[10 26 24],[12 15 15],[18 30 19],[23 38 42],,[74 90 63],,,,[68 59 59],,,[ 17 109  53],[ 21 110  59],[66 21 36],[25 35 28],[25 43 40],[118 105  22],
,,[31 37 40],[ 28  68 143],[64 70 27],[13 24 24],[12 23 25],[18 30 30],[16 32 22],[45 45 38],,[70 78 74],,,,[80 81 75],,,[14 79 47],[ 18 109  61],[50 44 49],[27 37 37],[25 41 30],[107 113  32],
,,[27 27 35],[32 83 90],[29 53 19],[12 25 25],[10 25 25],[19 33 19],[16 16 18],[31 48 45],,[61 61 56],,,,[93 84 80],,,[ 17 105  48],[17 97 51],[63 21 50],[34 44 38],[24 45 31],[98 60 19],
,,[24 29 33],[ 35  79 143],[45 43 30],[13 23 22],[14 25 26],[17 31 30],[17 29 24],[28 39 50],,[57 83 58],,,,[61 76 50],,,[ 29 105  57],[ 22 107  53],[65 20 44],[28 70 41],[25 33 37],[100  93  22],
,,[27 35 31],[32 99 83],[67 60 30],[12 27 24],[13 23 23],[21 27 26],[23 29 32],[24 43 53],,[83 66 57],,,,[82 89 65],,,[ 8 81 49],[ 22 116  56],[55 32 48],[29 52 38],[25 41 30],[127  87  28],
,,[28 35 40],[ 31  85 150],[68 48 37],[11 25 25],[12 23 24],[18 36 36],[21 21 21],[34 32 42],,[38 54 47],,,,[83 74 55],,,[ 21 110  57],[ 21 106  53],[63 15 44],[24 58 37],[26 39 42],[134  70  32],
,,[31 29 30],[27 82 79],[78 41 35],[10 25 24],[10 24 25],[19 22 24],[19 33 28],[54 53 47],,[60 71 46],,,,[72 84 53],,,[ 20 103  45],[12 69 50],[59 29 41],[21 46 40],[29 62 41],[127  79  31],
,,[29 35 37],[ 22  75 136],[71 49 45],[12 25 25],[12 25 25],[20 29 25],[18 22 19],[65 66 44],,[92 83 66],,,,[73 76 52],,,[ 19 110  63],[ 20 108  43],[51 36 34],[33 56 47],[25 56 44],[121 106  27],
,,[22 30 38],[ 40  74 106],[67 65 30],[11 24 26],[10 23 21],[20 22 25],[20 26 16],[52 57 53],,[79 81 64],,,,[60 58 44],,,[ 17 108  58],[ 26 114  57],[64 23 41],[26 45 38],[24 51 41],[120  64  26],
,,[33 35 29],[ 27  73 138],[62 38 26],[11 24 25],[13 24 28],[14 29 27],[20 25 18],[30 49 40],,[83 79 58],,,,[78 67 47],,,[16 97 51],[ 21 111  59],[53 32 41],[29 39 33],[24 33 29],[112  79  22],
,,[26 31 32],[32 82 86],[42 46 25],[10 23 21],[10 23 24],[24 35 20],[19 20 24],[17 35 35],,[72 82 46],,,,[72 75 60],,,[ 23 112  51],[ 18 118  66],[50 19 51],[27 42 42],[30 42 40],[118  70  18],
,,[22 27 29],[36 75 78],[31 36 25],[14 26 26],[13 25 26],[14 27 16],[14 21 19],[72 74 41],,[83 86 75],,,,,,,[19 80 57],[ 23 131  61],[70 37 47],[32 49 41],[32 61 36],[56 36 19],
,,[31 37 42],[ 19  75 136],[72 68 38],[12 27 27],[12 27 29],[19 29 24],[19 28 23],[32 45 44],,[84 63 52],,,,,,,[ 21 103  49],[ 17 115  55],[44 16 37],[19 53 32],[22 62 41],[120  78  33],
,,[25 36 42],[ 25  76 149],[62 40 22],[10 25 25],[13 27 27],,,[27 42 44],,[89 67 58],,,,,,,[12 72 48],[ 17 111  59],[53 50 45],[19 44 27],[21 51 45],[119  79  21],
,,[27 38 36],[ 24  79 129],[58 50 27],[12 25 26],[13 28 28],,,[31 47 58],,[84 70 65],,,,,,,[19 92 55],[ 15 109  52],[57 38 42],[23 49 43],[22 34 27],[108  79  27],
,,[26 28 39],[ 28  94 109],[61 50 29],[13 27 30],[14 29 29],,,[34 39 48],,[77 68 52],,,,,,,[ 26 117  52],[ 27 117  50],[64 19 55],[18 36 28],[21 35 30],[110  79  29],
,,[29 30 38],[ 23  93 135],[51 51 34],[12 27 28],[12 26 27],,,[64 73 37],,[73 75 59],,,,,,,[ 20 108  55],[15 91 52],[49 32 38],[22 37 26],[31 47 39],[117  79  33],
,,[26 31 32],[ 20  66 126],[58 69 31],[10 24 24],[12 24 24],,,[29 46 38],,,,,,,,,[ 19 109  54],[ 25 105  58],[63 19 42],[24 44 36],[27 48 29],[117  82  30],
,,[23 33 38],[22 80 63],[58 52 34],[13 24 24],[10 24 26],,,[32 39 54],,,,,,,,,[ 21 100  53],[17 89 49],[52 28 49],[29 48 36],[31 36 33],[144 109  39],
,,[31 34 36],[ 31  70 155],[74 59 50],[15 22 22],[15 22 24],,,[51 60 37],,,,,,,,,[14 98 58],[ 28 118  63],[53 46 35],[31 42 43],[25 49 40],[109  78  25],
,,[34 28 38],[ 20  70 142],[77 72 37],[12 23 24],[12 24 24],,,[50 57 36],,,,,,,,,[14 87 49],[ 22 103  54],[60 33 40],[32 52 39],[27 55 39],[135 106  36],
,,[23 29 36],[33 83 88],[71 50 37],[11 26 25],[10 26 22],,,[36 48 46],,,,,,,,,[ 27 117  51],[ 22 107  52],[46 52 56],[30 56 54],[27 70 50],[115 112  21],
,,[25 30 32],[ 44 101 132],[68 59 33],[12 28 28],[11 28 27],,,[22 38 36],,,,,,,,,[ 21 101  49],[ 21 114  54],[63 44 50],[19 38 29],[16 40 31],[123  70  26],
,,[20 28 36],[ 38  98 158],[66 59 44],[14 24 24],[13 24 25],,,[61 66 35],,,,,,,,,[ 23 108  48],[ 20 119  55],[37 22 37],[27 60 47],[25 54 44],[106  88  32],
,,[20 38 35],[27 94 69],[57 56 31],[14 25 24],[13 24 23],,,[24 40 47],,,,,,,,,[ 21 119  58],[ 18 125  55],[64 50 53],[28 68 39],[29 46 38],[135  65  32],
,,[24 39 44],[ 27  76 155],[51 53 33],[13 30 30],[15 30 28],,,[28 43 46],,,,,,,,,[ 23 117  49],[ 14 106  57],[71 41 48],[30 56 37],[31 77 40],[114  85  34],
,,[23 37 37],[ 33  85 141],[59 40 29],[13 26 26],[13 25 26],,,[34 45 36],,,,,,,,,[ 17 123  57],[ 23 110  51],[63 41 45],[27 51 36],[30 49 45],[105 103  34],
,,[31 37 45],[ 38  82 130],[57 50 40],[13 26 26],[14 25 25],,,[36 36 48],,,,,,,,,[ 16 103  54],[ 19 118  62],[49 19 38],[29 46 36],[35 57 43],[97 55 28],
,,[31 34 41],[22 88 81],[49 54 27],[13 23 23],[12 26 26],,,[35 39 51],,,,,,,,,[ 21 103  43],[ 27 138  67],[67 19 57],[29 52 41],[32 44 46],[118 107  34],
,,[18 35 36],[ 35  72 145],[88 62 45],[12 24 25],[13 25 26],,,[37 40 47],,,,,,,,,[ 21 122  62],[17 79 42],[54 19 42],[25 48 46],[29 44 36],[117  93  27],
,,[28 30 44],[39 88 92],[62 64 29],[13 25 25],[11 25 26],,,[29 46 49],,,,,,,,,[ 24 133  67],[ 27 100  60],[50 32 37],[26 46 36],[26 48 51],[136  92  31],
,,[31 32 38],[ 34  99 131],[59 42 37],[10 26 25],[12 29 28],,,[30 41 50],,,,,,,,,[ 21 101  51],[ 24 102  58],[64 37 52],[26 59 52],[24 48 47],[124  81  30],
,,[29 30 34],[34 82 84],[30 43 23],[12 26 29],[10 26 24],,,[ 66 100  45],,,,,,,,,[14 92 54],[ 25 106  51],[67 58 59],[34 47 52],[35 56 48],[110  69  25],
,,[25 41 29],[ 30  72 137],[40 48 25],[13 28 27],[12 28 26],,,[26 38 36],,,,,,,,,[ 22 113  55],[ 22 114  57],[63 23 43],[39 47 44],[43 67 59],[83 70 27],
,,[30 31 37],[  8  74 160],[70 72 38],[14 27 25],[12 26 27],,,[48 56 36],,,,,,,,,[ 23 115  52],[14 97 53],[52 40 43],[37 72 57],[23 43 39],[112  72  31],
,,[26 28 36],[46 90 79],[66 44 34],[10 26 26],[14 27 26],,,[34 38 43],,,,,,,,,[ 21 114  47],[ 23 116  51],[61 23 42],[21 39 38],[30 49 41],[128 102  31],
,,[32 31 42],[ 30  86 167],[79 77 36],[12 24 22],[10 26 26],,,[37 41 48],,,,,,,,,[18 97 52],[15 97 52],[62 58 40],[28 48 40],[26 55 45],[128 124  41],
,,[30 25 39],[ 46  89 142],[46 61 30],[11 23 23],[13 24 22],,,[55 81 42],,,,,,,,,[13 99 56],[ 12 107  57],[55 59 47],[32 65 39],[28 68 45],[106  96  23],
,,[28 42 41],[ 27  85 145],[60 49 44],[11 26 29],[11 23 24],,,[58 55 35],,,,,,,,,[ 19 117  51],[ 21 108  50],[58 23 47],[29 59 38],[27 50 48],[117 122  21],
,,[30 34 40],[ 34  93 132],[61 97 39],[12 27 28],[11 24 25],,,[31 45 40],,,,,,,,,[ 22 104  50],[10 84 49],[63 25 48],[23 47 36],[26 32 33],[125 103  28],
,,[31 31 40],[ 41  89 102],[59 79 29],[ 9 24 23],[13 27 28],,,[30 36 44],,,,,,,,,[10 76 46],[19 97 54],[62 44 45],[27 36 30],[34 48 45],[114 128  27],
,,[28 49 37],[ 18  68 142],[91 85 42],[13 30 28],[11 24 24],,,[31 41 35],,,,,,,,,[ 24 107  51],[ 24 114  50],[62 26 44],[31 42 48],[30 65 40],[150 124  36],
