Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
[ 51 100 122],[44 44 88],[21 30 37],[ 31  71 157],[73 40 41],[11 24 25],[10 29 27],[16 28 20],[18 30 20],[31 45 40],[24 68 49],[ 86 102  91],[27 14 14],[25 51 45],[20 53 42],[63 48 45],[33 21 17],[21 51 51],[ 16 110  53],[ 18 110  52],[58 27 45],[32 38 33],[21 42 42],[117  94  27],[43 87 33]
[ 48  89 123],[25 34 59],[29 34 32],[ 27  76 149],[37 58 30],[13 29 29],[14 24 24],[15 29 24],[20 19 25],[31 38 38],[21 65 59],[95 69 65],[34 33 15],[32 46 55],[15 63 48],[50 67 59],[29 18 15],[30 50 54],[ 20 111  54],[ 26 108  50],[50 59 57],[29 51 54],[29 65 33],[111 114  22],[47 64 30]
[ 37 110 114],[26 36 63],[23 29 35],[33 84 84],[64 67 38],[12 24 26],[12 25 25],[22 33 25],[10 22 20],[50 61 48],[30 53 48],[91 63 66],[28 18 13],[26 43 67],[18 70 49],[57 65 53],[41 21 15],[46 67 47],[ 26 108  55],[16 95 54],[68 45 49],[32 63 33],[31 55 51],[130  82  31],[49 69 38]
[ 38 103 117],[22 34 53],[28 38 41],[ 37  95 101],[62 48 26],[13 25 25],[ 9 25 25],[23 21 21],[20 26 19],[48 83 45],[30 86 41],[58 60 45],[21 16 18],[21 41 50],[26 77 41],[81 63 60],[35 12 16],[34 51 53],[ 21 119  52],[ 22 121  54],[54 24 45],[29 36 47],[31 50 35],[137 117  31],[22 72 23]
[ 50  92 118],[18 23 52],[16 35 33],[ 36  75 136],[46 80 49],[10 26 27],[11 22 22],[18 30 25],[18 25 21],[64 66 37],[14 41 25],[72 84 53],[33  9 21],[22 59 52],[23 44 37],[27 49 55],[35 21 15],[38 63 51],[ 11 121  63],[  9 126  60],[62 22 38],[29 47 34],[30 39 43],[112  92  29],[46 78 31]
[ 37  84 109],[26 26 58],[18 33 32],[ 35  63 137],[76 59 25],[12 24 24],[11 22 23],[19 23 23],[22 26 18],[57 62 36],[18 67 45],[90 76 70],[28 20 14],[15 67 51],[18 56 40],[79 64 60],[37 21 24],[21 49 58],[ 7 53 48],[ 9 63 51],[69 35 54],[24 38 26],[27 50 32],[116  91  33],[37 57 22]
[ 41  99 121],[23 27 50],[26 30 37],[ 32  68 135],[59 66 32],[11 24 26],[12 25 26],[24 28 23],[19 28 19],[59 56 33],[16 63 43],[82 83 51],[32 25 30],[36 55 58],[21 43 33],[93 81 66],[36 15 20],[32 33 49],[ 22 102  77],[ 32 120  92],[51 48 42],[23 58 37],[17 34 32],[121  81  34],[24 51 22]
[ 54  79 123],[22 31 49],[20 41 28],[37 78 84],[68 62 36],[11 22 22],[10 24 25],[11 20 19],[21 36 22],[34 46 36],[29 80 48],[91 87 66],[38 11 14],[30 55 59],[18 73 45],[59 64 45],[38 10 15],[34 59 49],[12 84 50],[10 96 50],[37 23 44],[22 67 29],[26 62 37],[111  92  26],[34 60 28]
[ 37  98 121],[14 31 52],[30 36 38],[36 63 96],[51 45 39],[10 22 23],[12 26 26],[18 32 31],[20 28 22],[67 69 45],[24 63 28],[92 65 50],[34 21 19],[41 57 58],[21 60 47],[87 68 65],[34 28 24],[22 51 53],[ 22 107  60],[13 80 51],[66 44 54],[31 45 33],[22 66 34],[153  95  18],[38 77 27]
[ 49  90 114],[13 35 62],[17 37 47],[29 85 83],[68 69 31],[11 25 26],[13 25 28],[20 28 26],[21 30 23],[25 39 41],[19 58 52],[61 82 64],[36 10 20],[48 77 65],[23 62 55],[ 92 106  62],[35 18 14],[24 69 54],[21 94 53],[ 18 104  48],[47 81 95],[ 8 33 35],[30 40 36],[117 140  80],[44 69 29]
[ 50  92 124],[15 34 59],[33 36 41],[ 23  75 118],[21 42 27],[10 23 23],[11 23 23],[23 29 30],[17 30 26],[34 36 46],[18 59 41],[79 74 50],[27 12 13],[23 54 49],[13 66 30],[76 86 60],[29 25 10],[41 40 97],[ 18 104  55],[ 24 103  54],[58 22 47],[32 49 34],[35 68 52],[128  77  24],[33 57 31]
[ 34 104 130],[13 28 46],[27 32 40],[  9  67 136],[73 77 39],[10 24 24],[13 25 25],[18 26 22],[23 28 27],[66 68 42],[20 40 28],[54 83 60],[32 16 21],[33 44 44],[20 49 52],[57 93 70],[32 20 14],[27 64 65],[23 99 51],[ 13 101  57],[59 29 48],[35 39 39],[29 46 47],[135  95  19],[52 72 32]
[ 37 105 126],[29 31 68],[31 31 36],[ 28  76 112],[66 54 39],[14 26 25],[13 25 25],[23 24 31],[21 32 35],[26 38 42],[19 75 54],[ 77  98 110],[32 23 16],[24 44 51],[19 63 47],[59 84 63],[36 21 15],[51 84 68],[12 94 58],[ 26 118  53],[57 22 42],[30 60 40],[28 40 33],[126  78  33],[26 53 31]
[ 36 116 139],[26 28 57],[31 39 42],[41 96 92],[48 57 21],[11 25 27],[14 24 25],[11 33 17],[19 27 25],[59 45 41],[21 65 58],[65 68 63],[30 16 12],[28 52 45],[20 63 60],[91 74 59],[37 17 11],[35 62 63],[ 20 113  56],[ 20 105  57],[68 24 44],[36 77 47],[32 37 30],[136  70  28],[20 42 26]
[ 43 112 127],[15 33 58],[35 43 53],[ 31  72 148],[67 33 39],[10 23 23],[10 25 24],[16 24 20],[20 32 27],[53 77 48],[13 61 33],[93 79 65],[38 17 14],[27 46 49],[20 48 34],[72 95 74],[33 20 18],[32 70 47],[ 23 103  56],[ 20 102  55],[59 20 42],[18 42 28],[30 59 43],[164  66  24],[69 81 48]
[ 37  79 116],[22 32 55],[31 33 38],[ 23  62 132],[76 45 31],[13 26 24],[12 25 25],[19 27 28],[17 30 21],[33 35 43],[27 75 51],[59 67 51],[26 21 10],[20 58 56],[37 65 55],[57 81 53],[23 18 14],[31 67 47],[ 21 102  57],[ 23 102  50],[66 25 49],[33 50 39],[34 61 41],[131  97  27],[33 69 25]
[ 38 113 108],[20 33 62],[30 33 43],[ 37  77 147],[49 43 34],[13 25 25],[11 25 25],[21 28 19],[20 32 26],[34 41 53],[18 56 52],[91 91 60],[29 23 17],[42 48 53],[17 52 25],[64 73 56],[31 16 17],[23 50 49],[ 25 108  53],[ 25 114  59],[65 33 47],[36 49 57],[40 67 46],[117  93  29],[55 74 38]
[ 49  83 127],[22 31 48],[26 33 41],[ 30  65 120],[70 57 25],[14 24 26],[12 25 25],[15 28 21],[14 34 21],[34 38 41],[19 57 53],[99 87 44],[32 22 14],[26 37 38],[17 54 29],[87 81 61],[27 11 16],[52 58 72],[ 10 101  50],[ 18 126  50],[67 40 48],[31 44 43],[27 48 31],[102  79  25],[34 52 23]
[ 46  93 125],[17 25 55],[29 25 26],[ 22  73 123],[56 50 39],[12 26 26],[13 26 27],[17 26 25],[15 27 22],[53 71 66],[21 65 42],[83 90 61],[33 23 23],[27 58 69],[22 67 39],[78 86 72],[23 13 23],[28 42 56],[ 18 123  48],[ 22 107  50],[58 29 45],[24 33 32],[31 53 43],[122  49  28],[35 65 24]
[ 42 101 119],[25 50 61],[30 32 40],[ 24  86 111],[67 62 34],[11 23 24],[13 26 25],[20 34 23],[25 31 22],[56 41 41],[18 64 46],[70 57 62],[27  9 15],[24 48 52],[17 47 37],[77 61 46],[35 17 18],[42 37 33],[ 22 108  46],[22 99 56],[60 21 41],[21 40 36],[32 44 63],[114 101  25],[17 43 26]
[ 38 106 112],[13 28 55],[30 39 38],[21 67 87],[51 55 23],[11 25 23],[10 25 26],[18 37 29],[20 24 24],[57 62 47],[22 84 52],[91 76 65],[26 18 17],[22 41 68],[21 55 35],[73 82 60],[19 12 16],[25 38 56],[21 91 53],[21 91 51],[57 21 46],[23 58 43],[31 41 40],[137  85  23],[30 53 22]
